Nazwa pliku: Data/burma14.tsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 3323
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
9414 ; 2509 ; 36.336 ; 1191.1 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 1071.13
Œredni wspó³czynnik b³êdu [j]:  ; 2439.7
Œredni wspó³czynnik b³êdu [%]:  ; 35.3324
Optymalny koszt:  ; 6905

Rozwi¹zania dla beta = 7
9024 ; 2119 ; 30.6879 ; 1205.28 ; 
9086 ; 2181 ; 31.5858 ; 1195.35 ; 
9113 ; 2208 ; 31.9768 ; 1193.38 ; 
8690 ; 1785 ; 25.8508 ; 1183.18 ; 
9586 ; 2681 ; 38.8269 ; 1169.58 ; 
9440 ; 2535 ; 36.7125 ; 1170.1 ; 
9276 ; 2371 ; 34.3374 ; 1193.09 ; 
9207 ; 2302 ; 33.3382 ; 1195.23 ; 
9045 ; 2140 ; 30.992 ; 1179.19 ; 
9380 ; 2475 ; 35.8436 ; 1204.89 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 1068.44
Œredni wspó³czynnik b³êdu [j]:  ; 2279.7
Œredni wspó³czynnik b³êdu [%]:  ; 33.0152
Optymalny koszt:  ; 6905

Rozwi¹zania dla beta = 8
9258 ; 2353 ; 34.0768 ; 1189.78 ; 
